seed,split,model,acc,macro_f1
5,cluster,ESM-2 650M frozen + 1-NN,0.6299479166666667,0.5805372370267321
6,random,ESM-2 650M frozen + 1-NN,0.8601268183513614,0.8173937922374114
6,cluster,ESM-2 650M frozen + 1-NN,0.6181179775280898,0.5609248872179743
7,random,ESM-2 650M frozen + 1-NN,0.8607484769364665,0.8237607720303275
7,cluster,ESM-2 650M frozen + 1-NN,0.7209302325581395,0.6030861039716026
8,random,ESM-2 650M frozen + 1-NN,0.8604998135024244,0.822388023760953
8,cluster,ESM-2 650M frozen + 1-NN,0.6792756539235413,0.5805473805226808
9,random,ESM-2 650M frozen + 1-NN,0.8672137262215591,0.8306629263043475
9,cluster,ESM-2 650M frozen + 1-NN,0.6356154133931912,0.5745960833909733
0,random,Alignment top-hit transfer (MMseqs2),0.8792739027725973,0.8499752246776406
0,cluster,Alignment top-hit transfer (MMseqs2),0.6880839996146807,0.5362891529255698
1,random,Alignment top-hit transfer (MMseqs2),0.8740519706577148,0.8446694538922952
1,cluster,Alignment top-hit transfer (MMseqs2),0.5929277460671029,0.5358451237970665
2,random,Alignment top-hit transfer (MMseqs2),0.865970409051349,0.8359676843485184
2,cluster,Alignment top-hit transfer (MMseqs2),0.6301791713325868,0.5632533071962131
3,random,Alignment top-hit transfer (MMseqs2),0.865846077334328,0.8330973374014936
3,cluster,Alignment top-hit transfer (MMseqs2),0.6433557868952847,0.5823669230416856
4,random,Alignment top-hit transfer (MMseqs2),0.8733059803555887,0.843877450034754
4,cluster,Alignment top-hit transfer (MMseqs2),0.6747247486835807,0.5194268437316272
5,random,Alignment top-hit transfer (MMseqs2),0.8744249658087778,0.8456223669312862
5,cluster,Alignment top-hit transfer (MMseqs2),0.62578125,0.5305530121238643
6,random,Alignment top-hit transfer (MMseqs2),0.8711923411662315,0.8409495707063606
6,cluster,Alignment top-hit transfer (MMseqs2),0.589185393258427,0.5027169096501872
7,random,Alignment top-hit transfer (MMseqs2),0.8729329852045257,0.845241157823008
7,cluster,Alignment top-hit transfer (MMseqs2),0.7202315600359317,0.5782653570082921
8,random,Alignment top-hit transfer (MMseqs2),0.8678353848066642,0.8395963869599588
8,cluster,Alignment top-hit transfer (MMseqs2),0.6742454728370222,0.5639926913626073
9,random,Alignment top-hit transfer (MMseqs2),0.8739276389406938,0.84614682145862
9,cluster,Alignment top-hit transfer (MMseqs2),0.6406035665294925,0.5777930207427326
