seed,model,bin,n,accuracy
6,1-NN (memorisation probe),10-20%,8,0.125
6,1-NN (memorisation probe),20-30%,1376,0.28924418604651164
6,1-NN (memorisation probe),>30%,2880,0.39340277777777777
6,Linear SVM,no hit,2856,0.2545518207282913
6,Linear SVM,10-20%,8,0.25
6,Linear SVM,20-30%,1376,0.3546511627906977
6,Linear SVM,>30%,2880,0.3958333333333333
6,ESM-2 650M frozen + linear probe,no hit,2856,0.5623249299719888
6,ESM-2 650M frozen + linear probe,10-20%,8,0.375
6,ESM-2 650M frozen + linear probe,20-30%,1376,0.7347383720930233
6,ESM-2 650M frozen + linear probe,>30%,2880,0.6951388888888889
6,ESM-2 650M frozen + 1-NN,no hit,2856,0.5003501400560224
6,ESM-2 650M frozen + 1-NN,10-20%,8,0.625
6,ESM-2 650M frozen + 1-NN,20-30%,1376,0.6787790697674418
6,ESM-2 650M frozen + 1-NN,>30%,2880,0.7059027777777778
7,1-NN (memorisation probe),no hit,2770,0.22851985559566787
7,1-NN (memorisation probe),10-20%,3,0.0
7,1-NN (memorisation probe),20-30%,1401,0.30406852248394006
7,1-NN (memorisation probe),>30%,5845,0.3981180496150556
7,Linear SVM,no hit,2770,0.30902527075812275
7,Linear SVM,10-20%,3,0.0
7,Linear SVM,20-30%,1401,0.31049250535331907
7,Linear SVM,>30%,5845,0.444311377245509
7,ESM-2 650M frozen + linear probe,no hit,2770,0.584115523465704
7,ESM-2 650M frozen + linear probe,10-20%,3,0.3333333333333333
7,ESM-2 650M frozen + linear probe,20-30%,1401,0.755174875089222
7,ESM-2 650M frozen + linear probe,>30%,5845,0.808896492728828
7,ESM-2 650M frozen + 1-NN,no hit,2770,0.5371841155234657
7,ESM-2 650M frozen + 1-NN,10-20%,3,0.6666666666666666
7,ESM-2 650M frozen + 1-NN,20-30%,1401,0.6930763740185582
7,ESM-2 650M frozen + 1-NN,>30%,5845,0.8147134302822926
8,1-NN (memorisation probe),no hit,2949,0.2271956595456087
8,1-NN (memorisation probe),10-20%,3,0.0
8,1-NN (memorisation probe),20-30%,1465,0.24095563139931742
8,1-NN (memorisation probe),>30%,5523,0.5469853340575774
8,Linear SVM,no hit,2949,0.28552051542895895
8,Linear SVM,10-20%,3,0.0
8,Linear SVM,20-30%,1465,0.29419795221843004
8,Linear SVM,>30%,5523,0.5238095238095238
8,ESM-2 650M frozen + linear probe,no hit,2949,0.5757884028484231
8,ESM-2 650M frozen + linear probe,10-20%,3,0.0
8,ESM-2 650M frozen + linear probe,20-30%,1465,0.7433447098976109
8,ESM-2 650M frozen + linear probe,>30%,5523,0.7494115516929205
8,ESM-2 650M frozen + 1-NN,no hit,2949,0.5198372329603256
8,ESM-2 650M frozen + 1-NN,10-20%,3,0.3333333333333333
8,ESM-2 650M frozen + 1-NN,20-30%,1465,0.5610921501706485
8,ESM-2 650M frozen + 1-NN,>30%,5523,0.7959442332065906
9,1-NN (memorisation probe),no hit,2896,0.2285911602209945
9,1-NN (memorisation probe),10-20%,1,0.0
9,1-NN (memorisation probe),20-30%,1372,0.3053935860058309
9,1-NN (memorisation probe),>30%,3750,0.41013333333333335
9,Linear SVM,no hit,2896,0.3173342541436464
9,Linear SVM,10-20%,1,0.0
9,Linear SVM,20-30%,1372,0.3119533527696793
9,Linear SVM,>30%,3750,0.39493333333333336
9,ESM-2 650M frozen + linear probe,no hit,2896,0.5656077348066298
9,ESM-2 650M frozen + linear probe,10-20%,1,0.0
9,ESM-2 650M frozen + linear probe,20-30%,1372,0.739067055393586
9,ESM-2 650M frozen + linear probe,>30%,3750,0.7250666666666666
9,ESM-2 650M frozen + 1-NN,no hit,2896,0.5459254143646409
9,ESM-2 650M frozen + 1-NN,10-20%,1,1.0
9,ESM-2 650M frozen + 1-NN,20-30%,1372,0.6756559766763849
9,ESM-2 650M frozen + 1-NN,>30%,3750,0.6901333333333334
