seed,leaked_pct,mean_neighbours
0,87.15653363172945,116.48502139800286
1,86.485142359816,115.16058079355952
2,86.22404575407187,120.21384282624369
3,85.86348377471093,117.93816970750072
4,86.6592067636454,118.6467718794835
5,86.77110530896431,119.62014615274394
6,86.26134526917816,120.07999423464976
7,86.29864478428448,116.53306439994238
8,86.57217456173069,118.71075685767629
9,86.74623896556012,118.25698724380106
