threshold,seed,split,model,acc,macro_f1,n_clusters
0.9,7,cluster,Logistic Regression,0.5167818981772471,0.40248339958351664,21677
0.9,7,cluster,Linear SVM,0.511125078566939,0.4320447159683187,21677
0.9,7,cluster,ESM-2 650M frozen + linear probe,0.7715901948460088,0.7149274432161843,21677
0.9,8,cluster,1-NN (memorisation probe),0.6571465328701916,0.5890995108946595,21677
0.9,8,cluster,Logistic Regression,0.5055962948668468,0.38068417829205037,21677
0.9,8,cluster,Linear SVM,0.5124147690724302,0.43532558684865064,21677
0.9,8,cluster,ESM-2 650M frozen + linear probe,0.7596809468673614,0.690304541994675,21677
0.9,9,cluster,1-NN (memorisation probe),0.6781914893617021,0.5940140687488916,21677
0.9,9,cluster,Logistic Regression,0.5314083080040527,0.39631427951659176,21677
0.9,9,cluster,Linear SVM,0.5200101317122594,0.4318403310563051,21677
0.9,9,cluster,ESM-2 650M frozen + linear probe,0.7743161094224924,0.7007157967918143,21677
0.7,0,cluster,1-NN (memorisation probe),0.6421797951700594,0.5993960075861354,18688
0.7,0,cluster,Logistic Regression,0.47793652800606906,0.362780722188832,18688
0.7,0,cluster,Linear SVM,0.47540776330762424,0.39953290931588037,18688
0.7,0,cluster,ESM-2 650M frozen + linear probe,0.767606524212922,0.7063364537493928,18688
0.7,1,cluster,1-NN (memorisation probe),0.6138157894736842,0.5567431590325171,18688
0.7,1,cluster,Logistic Regression,0.4901315789473684,0.3538129107008791,18688
0.7,1,cluster,Linear SVM,0.48276315789473684,0.37999634458817216,18688
0.7,1,cluster,ESM-2 650M frozen + linear probe,0.7618421052631579,0.6926636937361528,18688
0.7,2,cluster,1-NN (memorisation probe),0.6340845446059474,0.5596322989795499,18688
0.7,2,cluster,Logistic Regression,0.48566475530070674,0.34529340995034585,18688
0.7,2,cluster,Linear SVM,0.4687291638885185,0.38427288809067756,18688
0.7,2,cluster,ESM-2 650M frozen + linear probe,0.7363648486464862,0.6684934277224495,18688
0.7,3,cluster,1-NN (memorisation probe),0.6468313373253493,0.5737179831961905,18688
0.7,3,cluster,Logistic Regression,0.49937624750499005,0.3629686043536925,18688
0.7,3,cluster,Linear SVM,0.4865269461077844,0.3925690306724327,18688
0.7,3,cluster,ESM-2 650M frozen + linear probe,0.7593562874251497,0.6881415376076292,18688
0.7,4,cluster,1-NN (memorisation probe),0.6247061896056412,0.5455293439240043,18688
0.7,4,cluster,Logistic Regression,0.4796291459911204,0.36240051662354944,18688
0.7,4,cluster,Linear SVM,0.4732306085139723,0.40509539831154645,18688
0.7,4,cluster,ESM-2 650M frozen + linear probe,0.7616871245756072,0.7006069020340088,18688
0.7,5,cluster,1-NN (memorisation probe),0.6259420864736216,0.5683598355216131,18688
0.7,5,cluster,Logistic Regression,0.46225042972365465,0.3455565697954234,18688
0.7,5,cluster,Linear SVM,0.45894486314954386,0.3864495575796897,18688
0.7,5,cluster,ESM-2 650M frozen + linear probe,0.7405791352637842,0.6680987675539215,18688
0.7,6,cluster,1-NN (memorisation probe),0.6151023789797609,0.5640955981238975,18688
0.7,6,cluster,Logistic Regression,0.5207716889572731,0.3772573592664239,18688
0.7,6,cluster,Linear SVM,0.49816546336844597,0.40154937809533575,18688
0.7,6,cluster,ESM-2 650M frozen + linear probe,0.7630488815244407,0.6888245682473024,18688
0.7,7,cluster,1-NN (memorisation probe),0.6125911032922845,0.5431870968765775,18688
0.7,7,cluster,Logistic Regression,0.4695903493340035,0.35353676891253766,18688
0.7,7,cluster,Linear SVM,0.4607941693892938,0.3856315691504749,18688
0.7,7,cluster,ESM-2 650M frozen + linear probe,0.7490575521487811,0.6750241394140708,18688
0.7,8,cluster,1-NN (memorisation probe),0.6238652808840942,0.554747796820187,18688
0.7,8,cluster,Logistic Regression,0.5032232600973556,0.38113884220812416,18688
0.7,8,cluster,Linear SVM,0.49006709643467966,0.3968496735063466,18688
0.7,8,cluster,ESM-2 650M frozen + linear probe,0.7508222602289173,0.6757938983424987,18688
0.7,9,cluster,1-NN (memorisation probe),0.6283023483365949,0.5657854035738173,18688
0.7,9,cluster,Logistic Regression,0.4740704500978474,0.3485996511071271,18688
0.7,9,cluster,Linear SVM,0.46367416829745595,0.38513173265224976,18688
0.7,9,cluster,ESM-2 650M frozen + linear probe,0.7378913894324853,0.6836240043321613,18688
