seed,split,cls,n_test
4,cluster_stratified,LYASE,319
4,cluster_stratified,OXIDOREDUCTASE,1216
4,cluster_stratified,SIGNALING PROTEIN,440
4,cluster_stratified,TRANSCRIPTION,366
4,cluster_stratified,TRANSFERASE,1655
4,cluster_stratified,TRANSPORT PROTEIN,301
4,cluster_stratified,VIRAL PROTEIN,206
5,random,HYDROLASE,2130
5,random,IMMUNE SYSTEM,836
5,random,ISOMERASE,296
5,random,LYASE,466
5,random,OXIDOREDUCTASE,1286
5,random,SIGNALING PROTEIN,384
5,random,TRANSCRIPTION,397
5,random,TRANSFERASE,1581
5,random,TRANSPORT PROTEIN,369
5,random,VIRAL PROTEIN,298
5,cluster,HYDROLASE,2168
5,cluster,IMMUNE SYSTEM,300
5,cluster,ISOMERASE,333
5,cluster,LYASE,503
5,cluster,OXIDOREDUCTASE,1364
5,cluster,SIGNALING PROTEIN,363
5,cluster,TRANSCRIPTION,459
5,cluster,TRANSFERASE,1612
5,cluster,TRANSPORT PROTEIN,358
5,cluster,VIRAL PROTEIN,220
5,cluster_stratified,HYDROLASE,1744
5,cluster_stratified,IMMUNE SYSTEM,1460
5,cluster_stratified,ISOMERASE,201
5,cluster_stratified,LYASE,474
5,cluster_stratified,OXIDOREDUCTASE,1712
5,cluster_stratified,SIGNALING PROTEIN,414
5,cluster_stratified,TRANSCRIPTION,384
5,cluster_stratified,TRANSFERASE,1456
5,cluster_stratified,TRANSPORT PROTEIN,328
5,cluster_stratified,VIRAL PROTEIN,432
6,random,HYDROLASE,2130
6,random,IMMUNE SYSTEM,836
6,random,ISOMERASE,296
6,random,LYASE,466
6,random,OXIDOREDUCTASE,1286
6,random,SIGNALING PROTEIN,384
6,random,TRANSCRIPTION,397
6,random,TRANSFERASE,1581
6,random,TRANSPORT PROTEIN,369
6,random,VIRAL PROTEIN,298
6,cluster,HYDROLASE,2211
6,cluster,IMMUNE SYSTEM,322
6,cluster,ISOMERASE,277
6,cluster,LYASE,451
6,cluster,OXIDOREDUCTASE,1022
6,cluster,SIGNALING PROTEIN,364
6,cluster,TRANSCRIPTION,425
6,cluster,TRANSFERASE,1513
6,cluster,TRANSPORT PROTEIN,319
6,cluster,VIRAL PROTEIN,216
6,cluster_stratified,HYDROLASE,2122
6,cluster_stratified,IMMUNE SYSTEM,224
6,cluster_stratified,ISOMERASE,299
6,cluster_stratified,LYASE,383
6,cluster_stratified,OXIDOREDUCTASE,1141
6,cluster_stratified,SIGNALING PROTEIN,318
6,cluster_stratified,TRANSCRIPTION,325
6,cluster_stratified,TRANSFERASE,1468
6,cluster_stratified,TRANSPORT PROTEIN,393
6,cluster_stratified,VIRAL PROTEIN,257
7,random,HYDROLASE,2130
7,random,IMMUNE SYSTEM,836
7,random,ISOMERASE,296
7,random,LYASE,466
